Date intervention,TotalDowntime,FailureCount
2023-02-06,31.03333,21
2023-02-13,346.79998,31
2023-02-20,949.9666599999999,36
2023-02-27,390.23334,44
2023-03-06,162.0,33
2023-03-13,2781.99998,51
2023-03-20,101.58332,35
2023-03-27,307.75001,25
2023-04-03,57.51668,32
2023-04-10,171.88333,29
2023-04-17,936.13332,26
2023-04-24,1644.58333,40
2023-05-01,56.41667,29
2023-05-08,881.16667,26
2023-05-15,2040.49999,18
2023-05-22,246.99999,16
2023-05-29,3521.49998,17
2023-06-05,101.0,1
2023-06-12,35.58334,3
2023-06-19,3.0,2
2023-06-26,501.58334,7
2023-07-03,24.0,8
2023-07-10,73.16668,26
2023-07-17,1161.74998,23
2023-07-24,97.99999,20
2023-07-31,45.95001,25
2023-08-07,104.13333,18
2023-08-14,781.24997,33
2023-08-21,721.25,12
2023-08-28,258.46667,38
2023-09-04,81.49999,31
2023-09-11,577.53334,34
2023-09-18,7331.98331,40
2023-09-25,101.55,26
2023-10-02,476.63332,19
2023-10-09,565.94996,46
2023-10-16,430.46666,35
2023-10-23,218.66667,33
2023-10-30,325.36665,56
2023-11-06,1528.2166399999999,39
2023-11-13,473.66665,35
2023-11-20,43759.63334,47
2023-11-27,112.96667000000001,20
2023-12-04,929.41666,29
2023-12-11,1193.6166799999999,48
2023-12-18,42.63332,16
2023-12-25,127.85,35
2024-01-01,246.0,41
2024-01-08,209.63331,22
2024-01-15,379.16666,25
2024-01-22,43.73333,42
2024-01-29,48.56667,24
2024-02-05,612.73332,29
2024-02-12,121.95002,23
2024-02-19,611.68331,41
2024-02-26,50.00002,27
2024-03-04,2177.08332,36
2024-03-11,353.78333000000003,35
2024-03-18,232.38332,35
2024-03-25,473.30001999999996,49
2024-04-01,1340.75002,31
2024-04-08,248.93332,88
2024-04-15,180.99994,46
2024-04-22,8885.96664,98
2024-04-29,678.63334,74
2024-05-06,438.23334,84
2024-05-13,1011.26662,98
2024-05-20,643.86668,76
2024-05-27,2426.2,88
2024-06-03,2289.89998,86
2024-06-10,18170.10002,74
2024-06-17,294.20002,68
2024-06-24,2269.99994,80
2024-07-01,157.46666,74
2024-07-08,807.1333,70
2024-07-15,703.06666,100
2024-07-22,632.09998,110
2024-07-29,478.89997999999997,82
2024-08-05,698.60002,62
2024-08-12,558.96666,86
2024-08-19,144.43334,68
2024-08-26,981.9333399999999,64
2024-09-02,596.89996,50
2024-09-09,4631.066680000001,88
2024-09-16,188.93336,74
2024-09-23,592.60004,74
2024-09-30,64.0333,66
2024-10-07,114.0,84
2024-10-14,169.6667,102
2024-10-21,120.4667,90
2024-10-28,990.2666399999999,102
2024-11-04,716.53336,76
2024-11-11,111.43332,60
2024-11-18,141.83332,74
2024-11-25,130.9,56
2024-12-02,147.56664,60
2024-12-09,69.79998,56
2024-12-16,191.63332,58
2024-12-23,248.6333,40
2024-12-30,625.9,56
2025-01-06,277.83332,48
2025-01-13,181.40004,52
2025-01-20,82.76662,50
2025-01-27,134.86666,96
2025-02-03,165.49998,86
2025-02-10,397.26666,96
2025-02-17,8291.33326,72
2025-02-24,1728.4332800000002,66
2025-03-03,276.30004,84
2025-03-10,158.09998,86
2025-03-17,157.90002,64
2025-03-24,102.89998,84
2025-03-31,363.0,52
2025-04-07,69.95,32
2025-04-14,204.04999,34
2025-04-21,53.26667,41
2025-04-28,37.983309999999996,16
